Input1,IMG1,Input2,IMG2,Gap,Situation,Note
5H,<img src='5H.png'></img>,j2K,<img src='j2K.png'></img>,24f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,2D,<img src='2D.png'></img>,14f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,5D,<img src='5D.png'></img>,24f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,5[D],<img src='5[D].png'></img>,32f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,236P,<img src='236P.png'></img>,11f,Ground Gatling,
5H,<img src='5H.png'></img>,j236P,<img src='j236P.png'></img>,37f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,236K,<img src='236K.png'></img>,9f,Ground Gatling,
5H,<img src='5H.png'></img>,j236K,<img src='j236K.png'></img>,40f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,623S,<img src='623S.png'></img>,-9f,Ground Gatling,
5H,<img src='5H.png'></img>,j623S,<img src='j623S.png'></img>,17f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,236H,<img src='236H.png'></img>,7f,Ground Gatling,
5H,<img src='5H.png'></img>,236S,<img src='236S.png'></img>,-5f,Ground Gatling,
5H,<img src='5H.png'></img>,236S-236S,<img src='236S-236S.png'></img>,12f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,236S-236K,<img src='236S-236K.png'></img>,24f,Ground Non-Gatling,
5H,<img src='5H.png'></img>,63214S,<img src='63214S.png'></img>,9f,Ground Gatling,
5H,<img src='5H.png'></img>,j214P,<img src='j214P.png'></img>,30f,Ground Non-Jump Cancel,
5H,<img src='5H.png'></img>,236236P,<img src='236236P.png'></img>,-11f,Ground Gatling,
5H,<img src='5H.png'></img>,632146H,<img src='632146H.png'></img>,3f,Ground Gatling,
5H,<img src='5H.png'></img>,j632146H,<img src='j632146H.png'></img>,22f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,5P,<img src='5P.png'></img>,18f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,5K,<img src='5K.png'></img>,21f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,cS,<img src='cS.png'></img>,22f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,fS,<img src='fS.png'></img>,24f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,5H,<img src='5H.png'></img>,26f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,2P,<img src='2P.png'></img>,20f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,2K,<img src='2K.png'></img>,20f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,2S,<img src='2S.png'></img>,25f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,2H,<img src='2H.png'></img>,27f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,jP,<img src='jP.png'></img>,24f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,jK,<img src='jK.png'></img>,25f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,jS,<img src='jS.png'></img>,28f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,jH,<img src='jH.png'></img>,27f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,jD,<img src='jD.png'></img>,27f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,6P,<img src='6P.png'></img>,24f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,6K,<img src='6K.png'></img>,35f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,6H,<img src='6H.png'></img>,32f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,j2K,<img src='j2K.png'></img>,35f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,2D,<img src='2D.png'></img>,25f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,5D,<img src='5D.png'></img>,35f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,5[D],<img src='5[D].png'></img>,43f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,236P,<img src='236P.png'></img>,44f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,j236P,<img src='j236P.png'></img>,48f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,236K,<img src='236K.png'></img>,42f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,j236K,<img src='j236K.png'></img>,51f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,623S,<img src='623S.png'></img>,24f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,j623S,<img src='j623S.png'></img>,28f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,236H,<img src='236H.png'></img>,40f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,236S,<img src='236S.png'></img>,28f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,236S-236S,<img src='236S-236S.png'></img>,23f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,236S-236K,<img src='236S-236K.png'></img>,35f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,63214S,<img src='63214S.png'></img>,42f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,j214P,<img src='j214P.png'></img>,41f,Ground Non-Jump Cancel,
5D,<img src='5D.png'></img>,236236P,<img src='236236P.png'></img>,22f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,632146H,<img src='632146H.png'></img>,36f,Ground Non-Gatling,
5D,<img src='5D.png'></img>,j632146H,<img src='j632146H.png'></img>,33f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,5P,<img src='5P.png'></img>,13f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,5K,<img src='5K.png'></img>,16f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,cS,<img src='cS.png'></img>,17f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,fS,<img src='fS.png'></img>,19f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,5H,<img src='5H.png'></img>,21f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,2P,<img src='2P.png'></img>,15f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,2K,<img src='2K.png'></img>,15f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,2S,<img src='2S.png'></img>,20f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,2H,<img src='2H.png'></img>,22f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,jP,<img src='jP.png'></img>,19f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,jK,<img src='jK.png'></img>,20f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,jS,<img src='jS.png'></img>,23f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,jH,<img src='jH.png'></img>,22f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,jD,<img src='jD.png'></img>,22f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,6P,<img src='6P.png'></img>,19f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,6K,<img src='6K.png'></img>,30f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,6H,<img src='6H.png'></img>,27f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,j2K,<img src='j2K.png'></img>,30f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,2D,<img src='2D.png'></img>,20f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,5D,<img src='5D.png'></img>,30f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,5[D],<img src='5[D].png'></img>,38f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,236P,<img src='236P.png'></img>,39f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,j236P,<img src='j236P.png'></img>,43f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,236K,<img src='236K.png'></img>,37f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,j236K,<img src='j236K.png'></img>,46f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,623S,<img src='623S.png'></img>,19f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,j623S,<img src='j623S.png'></img>,23f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,236H,<img src='236H.png'></img>,35f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,236S,<img src='236S.png'></img>,23f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,236S-236S,<img src='236S-236S.png'></img>,18f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,236S-236K,<img src='236S-236K.png'></img>,30f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,63214S,<img src='63214S.png'></img>,37f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,j214P,<img src='j214P.png'></img>,36f,Ground Non-Jump Cancel,
5[D],<img src='5[D].png'></img>,236236P,<img src='236236P.png'></img>,17f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,632146H,<img src='632146H.png'></img>,31f,Ground Non-Gatling,
5[D],<img src='5[D].png'></img>,j632146H,<img src='j632146H.png'></img>,28f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,5P,<img src='5P.png'></img>,-6f,Ground Gatling,
2P,<img src='2P.png'></img>,5K,<img src='5K.png'></img>,8f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,cS,<img src='cS.png'></img>,9f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,fS,<img src='fS.png'></img>,11f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,5H,<img src='5H.png'></img>,13f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,2P,<img src='2P.png'></img>,-4f,Ground Gatling,
2P,<img src='2P.png'></img>,2K,<img src='2K.png'></img>,7f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,2S,<img src='2S.png'></img>,12f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,2H,<img src='2H.png'></img>,14f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,jP,<img src='jP.png'></img>,11f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,jK,<img src='jK.png'></img>,12f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,jS,<img src='jS.png'></img>,15f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,jH,<img src='jH.png'></img>,14f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,jD,<img src='jD.png'></img>,14f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,6P,<img src='6P.png'></img>,0f,Ground Gatling,
2P,<img src='2P.png'></img>,6K,<img src='6K.png'></img>,11f,Ground Gatling,
2P,<img src='2P.png'></img>,6H,<img src='6H.png'></img>,8f,Ground Gatling,
2P,<img src='2P.png'></img>,j2K,<img src='j2K.png'></img>,22f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,2D,<img src='2D.png'></img>,12f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,5D,<img src='5D.png'></img>,22f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,5[D],<img src='5[D].png'></img>,30f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,236P,<img src='236P.png'></img>,20f,Ground Gatling,
2P,<img src='2P.png'></img>,j236P,<img src='j236P.png'></img>,35f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,236K,<img src='236K.png'></img>,18f,Ground Gatling,
2P,<img src='2P.png'></img>,j236K,<img src='j236K.png'></img>,38f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,623S,<img src='623S.png'></img>,0f,Ground Gatling,
2P,<img src='2P.png'></img>,j623S,<img src='j623S.png'></img>,15f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,236H,<img src='236H.png'></img>,16f,Ground Gatling,
2P,<img src='2P.png'></img>,236S,<img src='236S.png'></img>,4f,Ground Gatling,
2P,<img src='2P.png'></img>,236S-236S,<img src='236S-236S.png'></img>,10f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,236S-236K,<img src='236S-236K.png'></img>,22f,Ground Non-Gatling,
2P,<img src='2P.png'></img>,63214S,<img src='63214S.png'></img>,18f,Ground Gatling,
2P,<img src='2P.png'></img>,j214P,<img src='j214P.png'></img>,28f,Ground Non-Jump Cancel,
2P,<img src='2P.png'></img>,236236P,<img src='236236P.png'></img>,-2f,Ground Gatling,
2P,<img src='2P.png'></img>,632146H,<img src='632146H.png'></img>,12f,Ground Gatling,
2P,<img src='2P.png'></img>,j632146H,<img src='j632146H.png'></img>,20f,Ground Non-Jump Cancel,
2K,<img src='2K.png'></img>,5P,<img src='5P.png'></img>,5f,Ground Non-Gatling,
