Input1,IMG1,Input2,IMG2,Gap,Situation,Note
5K(1),<img src='5K(1).png'></img>,5[D],<img src='5[D].png'></img>,19f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,236P,<img src='236P.png'></img>,9f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,623S,<img src='623S.png'></img>,0f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,623H,<img src='623H.png'></img>,4f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,j623S,<img src='j623S.png'></img>,4f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,j623H,<img src='j623H.png'></img>,8f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,236K,<img src='236K.png'></img>,3f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,j236K,<img src='j236K.png'></img>,5f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,214K,<img src='214K.png'></img>,21f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,j214K,<img src='j214K.png'></img>,17f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,j214[K],<img src='j214[K].png'></img>,25f,Ground Jump Cancel,nan <br> 
5K(1),<img src='5K(1).png'></img>,623K,<img src='623K.png'></img>,-3f,Ground Gatling,nan <br> 
5K(1),<img src='5K(1).png'></img>,632146H,<img src='632146H.png'></img>,0f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,5P,<img src='5P.png'></img>,20f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,5K,<img src='5K.png'></img>,19f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,cS,<img src='cS.png'></img>,23f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,fS,<img src='fS.png'></img>,26f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,5H,<img src='5H.png'></img>,27f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,2P,<img src='2P.png'></img>,21f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,2K,<img src='2K.png'></img>,22f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,2S,<img src='2S.png'></img>,26f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,2H,<img src='2H.png'></img>,27f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,jP,<img src='jP.png'></img>,-2f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,jK,<img src='jK.png'></img>,-1f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,jS,<img src='jS.png'></img>,3f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,jH,<img src='jH.png'></img>,4f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,jD,<img src='jD.png'></img>,2f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,6P,<img src='6P.png'></img>,-2f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,6S,<img src='6S.png'></img>,4f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,6H,<img src='6H.png'></img>,-2f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,2D,<img src='2D.png'></img>,-1f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,5D,<img src='5D.png'></img>,9f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,5[D],<img src='5[D].png'></img>,17f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,236P,<img src='236P.png'></img>,7f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,623S,<img src='623S.png'></img>,-2f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,623H,<img src='623H.png'></img>,2f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,j623S,<img src='j623S.png'></img>,2f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,j623H,<img src='j623H.png'></img>,6f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,236K,<img src='236K.png'></img>,1f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,j236K,<img src='j236K.png'></img>,3f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,214K,<img src='214K.png'></img>,19f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,j214K,<img src='j214K.png'></img>,15f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,j214[K],<img src='j214[K].png'></img>,23f,Ground Jump Cancel,nan <br> 
5K(2),<img src='5K(2).png'></img>,623K,<img src='623K.png'></img>,-5f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,214S,<img src='214S.png'></img>,31f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,214[S],<img src='214[S].png'></img>,48f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,41236H,<img src='41236H.png'></img>,40f,Ground Non-Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,632146H,<img src='632146H.png'></img>,-2f,Ground Gatling,nan <br> 
5K(2),<img src='5K(2).png'></img>,214214H,<img src='214214H.png'></img>,36f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,5P,<img src='5P.png'></img>,1f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,5K,<img src='5K.png'></img>,0f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,cS,<img src='cS.png'></img>,4f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,fS,<img src='fS.png'></img>,-8f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,5H,<img src='5H.png'></img>,-7f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,2P,<img src='2P.png'></img>,2f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,2K,<img src='2K.png'></img>,3f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,2S,<img src='2S.png'></img>,-8f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,2H,<img src='2H.png'></img>,-7f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,jP,<img src='jP.png'></img>,-9f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,jK,<img src='jK.png'></img>,-8f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,jS,<img src='jS.png'></img>,-4f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,jH,<img src='jH.png'></img>,-3f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,jD,<img src='jD.png'></img>,-5f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,6P,<img src='6P.png'></img>,-9f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,6S,<img src='6S.png'></img>,-3f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,6H,<img src='6H.png'></img>,-9f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,2D,<img src='2D.png'></img>,-8f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,5D,<img src='5D.png'></img>,2f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,5[D],<img src='5[D].png'></img>,10f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,236P,<img src='236P.png'></img>,0f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,623S,<img src='623S.png'></img>,-9f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,623H,<img src='623H.png'></img>,-5f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,j623S,<img src='j623S.png'></img>,-5f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,j623H,<img src='j623H.png'></img>,-1f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,236K,<img src='236K.png'></img>,-6f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,j236K,<img src='j236K.png'></img>,-4f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,214K,<img src='214K.png'></img>,12f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,j214K,<img src='j214K.png'></img>,8f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,j214[K],<img src='j214[K].png'></img>,16f,Ground Jump Cancel,nan <br> 
cS,<img src='cS.png'></img>,623K,<img src='623K.png'></img>,-12f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,214S,<img src='214S.png'></img>,12f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,214[S],<img src='214[S].png'></img>,29f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,41236H,<img src='41236H.png'></img>,21f,Ground Non-Gatling,nan <br> 
cS,<img src='cS.png'></img>,632146H,<img src='632146H.png'></img>,-9f,Ground Gatling,nan <br> 
cS,<img src='cS.png'></img>,214214H,<img src='214214H.png'></img>,17f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,5P,<img src='5P.png'></img>,2f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,5K,<img src='5K.png'></img>,1f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,cS,<img src='cS.png'></img>,5f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,fS,<img src='fS.png'></img>,8f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,5H,<img src='5H.png'></img>,-5f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,2P,<img src='2P.png'></img>,3f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,2K,<img src='2K.png'></img>,4f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,2S,<img src='2S.png'></img>,8f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,2H,<img src='2H.png'></img>,-5f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,jP,<img src='jP.png'></img>,7f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,jK,<img src='jK.png'></img>,8f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,jS,<img src='jS.png'></img>,12f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,jH,<img src='jH.png'></img>,13f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,jD,<img src='jD.png'></img>,11f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,6P,<img src='6P.png'></img>,7f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,6S,<img src='6S.png'></img>,13f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,6H,<img src='6H.png'></img>,7f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,2D,<img src='2D.png'></img>,8f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,5D,<img src='5D.png'></img>,18f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,5[D],<img src='5[D].png'></img>,26f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,236P,<img src='236P.png'></img>,2f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,623S,<img src='623S.png'></img>,-7f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,623H,<img src='623H.png'></img>,-3f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,j623S,<img src='j623S.png'></img>,11f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,j623H,<img src='j623H.png'></img>,15f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,236K,<img src='236K.png'></img>,-4f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,j236K,<img src='j236K.png'></img>,12f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,214K,<img src='214K.png'></img>,14f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,j214K,<img src='j214K.png'></img>,24f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,j214[K],<img src='j214[K].png'></img>,32f,Ground Non-Jump Cancel,nan <br> 
fS,<img src='fS.png'></img>,623K,<img src='623K.png'></img>,-10f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,214S,<img src='214S.png'></img>,13f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,214[S],<img src='214[S].png'></img>,30f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,41236H,<img src='41236H.png'></img>,22f,Ground Non-Gatling,nan <br> 
fS,<img src='fS.png'></img>,632146H,<img src='632146H.png'></img>,-7f,Ground Gatling,nan <br> 
fS,<img src='fS.png'></img>,214214H,<img src='214214H.png'></img>,18f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,5P,<img src='5P.png'></img>,9f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,5K,<img src='5K.png'></img>,8f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,cS,<img src='cS.png'></img>,12f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,fS,<img src='fS.png'></img>,15f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,5H,<img src='5H.png'></img>,16f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,2P,<img src='2P.png'></img>,10f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,2K,<img src='2K.png'></img>,11f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,2S,<img src='2S.png'></img>,15f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,2H,<img src='2H.png'></img>,16f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,jP,<img src='jP.png'></img>,14f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,jK,<img src='jK.png'></img>,15f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,jS,<img src='jS.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,jH,<img src='jH.png'></img>,20f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,jD,<img src='jD.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,6P,<img src='6P.png'></img>,14f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,6S,<img src='6S.png'></img>,20f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,6H,<img src='6H.png'></img>,14f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,2D,<img src='2D.png'></img>,15f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,5D,<img src='5D.png'></img>,25f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,5[D],<img src='5[D].png'></img>,33f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,236P,<img src='236P.png'></img>,0f,Ground Gatling,nan <br> 
5H,<img src='5H.png'></img>,623S,<img src='623S.png'></img>,-9f,Ground Gatling,nan <br> 
5H,<img src='5H.png'></img>,623H,<img src='623H.png'></img>,-5f,Ground Gatling,nan <br> 
5H,<img src='5H.png'></img>,j623S,<img src='j623S.png'></img>,18f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,j623H,<img src='j623H.png'></img>,22f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,236K,<img src='236K.png'></img>,-6f,Ground Gatling,nan <br> 
5H,<img src='5H.png'></img>,j236K,<img src='j236K.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,214K,<img src='214K.png'></img>,12f,Ground Gatling,nan <br> 
5H,<img src='5H.png'></img>,j214K,<img src='j214K.png'></img>,31f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,j214[K],<img src='j214[K].png'></img>,39f,Ground Non-Jump Cancel,nan <br> 
5H,<img src='5H.png'></img>,623K,<img src='623K.png'></img>,-12f,Ground Gatling,nan <br> 
5H,<img src='5H.png'></img>,214S,<img src='214S.png'></img>,20f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,214[S],<img src='214[S].png'></img>,37f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,41236H,<img src='41236H.png'></img>,29f,Ground Non-Gatling,nan <br> 
5H,<img src='5H.png'></img>,632146H,<img src='632146H.png'></img>,-9f,Ground Gatling,nan <br> 
5H,<img src='5H.png'></img>,214214H,<img src='214214H.png'></img>,25f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,5P,<img src='5P.png'></img>,19f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,5K,<img src='5K.png'></img>,18f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,cS,<img src='cS.png'></img>,22f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,fS,<img src='fS.png'></img>,25f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,5H,<img src='5H.png'></img>,26f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,2P,<img src='2P.png'></img>,20f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,2K,<img src='2K.png'></img>,21f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,2S,<img src='2S.png'></img>,25f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,2H,<img src='2H.png'></img>,26f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,jP,<img src='jP.png'></img>,24f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,jK,<img src='jK.png'></img>,25f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,jS,<img src='jS.png'></img>,29f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,jH,<img src='jH.png'></img>,30f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,jD,<img src='jD.png'></img>,28f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,6P,<img src='6P.png'></img>,24f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,6S,<img src='6S.png'></img>,30f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,6H,<img src='6H.png'></img>,24f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,2D,<img src='2D.png'></img>,25f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,5D,<img src='5D.png'></img>,35f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,5[D],<img src='5[D].png'></img>,43f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,236P,<img src='236P.png'></img>,33f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,623S,<img src='623S.png'></img>,24f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,623H,<img src='623H.png'></img>,28f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,j623S,<img src='j623S.png'></img>,28f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,j623H,<img src='j623H.png'></img>,32f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,236K,<img src='236K.png'></img>,27f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,j236K,<img src='j236K.png'></img>,29f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,214K,<img src='214K.png'></img>,45f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,j214K,<img src='j214K.png'></img>,41f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,j214[K],<img src='j214[K].png'></img>,49f,Ground Non-Jump Cancel,nan <br> 
5D,<img src='5D.png'></img>,623K,<img src='623K.png'></img>,21f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,214S,<img src='214S.png'></img>,30f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,214[S],<img src='214[S].png'></img>,47f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,41236H,<img src='41236H.png'></img>,39f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,632146H,<img src='632146H.png'></img>,24f,Ground Non-Gatling,nan <br> 
5D,<img src='5D.png'></img>,214214H,<img src='214214H.png'></img>,35f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,5P,<img src='5P.png'></img>,14f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,5K,<img src='5K.png'></img>,13f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,cS,<img src='cS.png'></img>,17f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,fS,<img src='fS.png'></img>,20f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,5H,<img src='5H.png'></img>,21f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,2P,<img src='2P.png'></img>,15f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,2K,<img src='2K.png'></img>,16f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,2S,<img src='2S.png'></img>,20f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,2H,<img src='2H.png'></img>,21f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,jP,<img src='jP.png'></img>,19f,Ground Non-Jump Cancel,nan <br> 
5[D],<img src='5[D].png'></img>,jK,<img src='jK.png'></img>,20f,Ground Non-Jump Cancel,nan <br> 
5[D],<img src='5[D].png'></img>,jS,<img src='jS.png'></img>,24f,Ground Non-Jump Cancel,nan <br> 
5[D],<img src='5[D].png'></img>,jH,<img src='jH.png'></img>,25f,Ground Non-Jump Cancel,nan <br> 
5[D],<img src='5[D].png'></img>,jD,<img src='jD.png'></img>,23f,Ground Non-Jump Cancel,nan <br> 
5[D],<img src='5[D].png'></img>,6P,<img src='6P.png'></img>,19f,Ground Non-Gatling,nan <br> 
5[D],<img src='5[D].png'></img>,6S,<img src='6S.png'></img>,25f,Ground Non-Gatling,nan <br> 
